0,000006.SZ
1,000008.SZ
2,000009.SZ
3,000012.SZ
4,000021.SZ
5,000025.SZ
6,000027.SZ
7,000028.SZ
8,000031.SZ
9,000039.SZ
10,000049.SZ
11,000061.SZ
12,000062.SZ
13,000066.SZ
14,000078.SZ
15,000089.SZ
16,000090.SZ
17,000156.SZ
18,000158.SZ
19,000400.SZ
20,000401.SZ
21,000418.SZ
22,000426.SZ
23,000488.SZ
24,000501.SZ
25,000513.SZ
26,000519.SZ
27,000528.SZ
28,000536.SZ
29,000541.SZ
30,000543.SZ
31,000547.SZ
32,000552.SZ
33,000553.SZ
34,000563.SZ
35,000566.SZ
36,000572.SZ
37,000581.SZ
38,000587.SZ
39,000592.SZ
40,000596.SZ
41,000598.SZ
42,000600.SZ
43,000612.SZ
44,000636.SZ
45,000656.SZ
46,000661.SZ
47,000667.SZ
48,000681.SZ
49,000685.SZ
50,000686.SZ
51,000690.SZ
52,000703.SZ
53,000712.SZ
54,000718.SZ
55,000727.SZ
56,000729.SZ
57,000732.SZ
58,000738.SZ
59,000750.SZ
60,000758.SZ
61,000761.SZ
62,000762.SZ
63,000766.SZ
64,000778.SZ
65,000806.SZ
66,000807.SZ
67,000813.SZ
68,000825.SZ
69,000829.SZ
70,000830.SZ
71,000848.SZ
72,000860.SZ
73,000877.SZ
74,000878.SZ
75,000887.SZ
76,000926.SZ
77,000930.SZ
78,000937.SZ
79,000960.SZ
80,000969.SZ
81,000970.SZ
82,000975.SZ
83,000977.SZ
84,000979.SZ
85,000980.SZ
86,000987.SZ
87,000988.SZ
88,000990.SZ
89,000997.SZ
90,000999.SZ
91,001696.SZ
92,002002.SZ
93,002004.SZ
94,002011.SZ
95,002013.SZ
96,002019.SZ
97,002022.SZ
98,002028.SZ
99,002030.SZ
100,002038.SZ
101,002041.SZ
102,002048.SZ
103,002049.SZ
104,002051.SZ
105,002056.SZ
106,002064.SZ
107,002073.SZ
108,002078.SZ
109,002092.SZ
110,002093.SZ
111,002110.SZ
112,002118.SZ
113,002127.SZ
114,002128.SZ
115,002129.SZ
116,002131.SZ
117,002147.SZ
118,002152.SZ
119,002155.SZ
120,002174.SZ
121,002176.SZ
122,002179.SZ
123,002180.SZ
124,002183.SZ
125,002190.SZ
126,002191.SZ
127,002195.SZ
128,002212.SZ
129,002221.SZ
130,002223.SZ
131,002233.SZ
132,002242.SZ
133,002244.SZ
134,002249.SZ
135,002250.SZ
136,002251.SZ
137,002254.SZ
138,002261.SZ
139,002266.SZ
140,002268.SZ
141,002273.SZ
142,002276.SZ
143,002277.SZ
144,002280.SZ
145,002281.SZ
146,002285.SZ
147,002299.SZ
148,002302.SZ
149,002308.SZ
150,002317.SZ
151,002332.SZ
152,002340.SZ
153,002342.SZ
154,002344.SZ
155,002345.SZ
156,002353.SZ
157,002354.SZ
158,002358.SZ
159,002359.SZ
160,002366.SZ
161,002368.SZ
162,002371.SZ
163,002373.SZ
164,002375.SZ
165,002384.SZ
166,002390.SZ
167,002399.SZ
168,002400.SZ
169,002407.SZ
170,002408.SZ
171,002410.SZ
172,002414.SZ
173,002416.SZ
174,002424.SZ
175,002426.SZ
176,002428.SZ
177,002431.SZ
178,002434.SZ
179,002437.SZ
180,002439.SZ
181,002440.SZ
182,002444.SZ
183,002463.SZ
184,002465.SZ
185,002477.SZ
186,002479.SZ
187,002482.SZ
188,002489.SZ
189,002491.SZ
190,002503.SZ
191,002505.SZ
192,002506.SZ
193,002509.SZ
194,002512.SZ
195,002517.SZ
196,002544.SZ
197,002563.SZ
198,002573.SZ
199,002583.SZ
